fbpid,fuid,latest_login_time,lifespan,pay_sum,coin_sum,get_pay,get_win,get_sys,get_duihuan,senior,profession,personal,middle,low
BD5FDCFA71A9CD5313766DAE14B56F9F,1002615602,2018-03-26,49,0.00,51472,0.0000,13.1846,86.8154,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002863708,2018-08-15,128,2.97,1205639,0.0000,43.2679,56.4543,0.0000,16.5300,0.0000,0.0000,19.3300,64.1400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002927383,2018-05-02,1,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002980809,2018-06-12,12,0.00,16500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003051619,2018-08-22,39,0.00,4000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003054664,2018-08-23,38,0.00,88929,0.0000,51.0054,48.9946,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002349736,2018-04-10,152,0.00,180672,0.0000,16.1980,83.8020,0.0000,0.0000,0.0000,0.0000,6.9000,93.1000
384C601DAA0369E7BB9AECC1D53D3437,1002891215,2018-08-26,132,0.00,724142,0.0000,5.8085,94.1915,0.0000,5.6700,0.0000,0.0000,7.5800,86.7500
384C601DAA0369E7BB9AECC1D53D3437,1002927043,2018-05-08,7,0.00,28500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,8.7800,91.2200
384C601DAA0369E7BB9AECC1D53D3437,1002947821,2018-08-26,105,0.00,647566,0.0000,53.9164,46.0836,0.0000,3.5900,0.0000,3.2700,31.8800,61.2600
BD5FDCFA71A9CD5313766DAE14B56F9F,1002241025,2018-08-26,312,0.00,776450,0.0000,54.2514,45.7486,0.0000,41.1800,0.0000,0.0000,58.8200,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002261527,2018-08-23,308,0.00,1839218,0.0000,74.8376,25.1624,0.0000,8.3400,1.6800,0.0000,20.7600,69.2300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002267886,2018-08-26,310,0.00,1301150,0.0000,29.2719,70.7281,0.0000,8.3700,0.0000,0.0000,12.7300,78.9000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002351622,2018-07-11,244,0.00,199696,0.0000,50.8026,49.1974,0.0000,10.8800,0.0000,0.0000,22.0100,67.1100
BD5FDCFA71A9CD5313766DAE14B56F9F,1002700237,2018-03-03,3,0.00,11888,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002783131,2018-03-22,2,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002834667,2018-08-26,144,0.00,338185,0.0000,2.2240,97.7760,0.0000,0.0000,0.0000,0.0000,47.0600,52.9400
BD5FDCFA71A9CD5313766DAE14B56F9F,1002985302,2018-06-03,1,0.00,2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003037028,2018-08-09,33,0.00,182768,0.0000,21.8547,78.1453,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1003022838,2018-08-26,59,0.00,357626,0.0000,16.1465,83.1650,0.0000,0.0000,0.0000,0.0000,13.2100,86.7900
384C601DAA0369E7BB9AECC1D53D3437,1003067294,2018-08-26,33,0.00,540569,0.0000,37.6474,62.3526,0.0000,0.0000,0.0000,0.0000,5.6100,94.3900
BD5FDCFA71A9CD5313766DAE14B56F9F,1002242029,2018-08-26,312,0.00,904276,0.0000,52.4592,47.5408,0.0000,12.4700,0.0000,0.0000,34.9500,52.5800
BD5FDCFA71A9CD5313766DAE14B56F9F,1002327690,2018-06-19,229,0.00,452329,0.0000,13.8850,86.1150,0.0000,0.1400,0.0000,0.0000,16.0500,83.8100
BD5FDCFA71A9CD5313766DAE14B56F9F,1002335328,2018-07-05,242,110.84,4197032,63.3622,19.3555,17.2824,0.0000,22.0000,0.0000,0.0000,25.2400,52.7600
BD5FDCFA71A9CD5313766DAE14B56F9F,1002716099,2018-03-04,1,0.00,4000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003036775,2018-08-26,50,0.00,451950,0.0000,60.3350,39.6650,0.0000,20.0900,0.0000,0.0000,31.2500,48.6600
384C601DAA0369E7BB9AECC1D53D3437,1002361751,2018-08-04,266,0.00,21536,0.0000,18.6398,81.3602,0.0000,8.7500,0.0800,0.0000,12.0700,79.1000
384C601DAA0369E7BB9AECC1D53D3437,1002607743,2018-03-27,53,0.00,12000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
