user_style_daily_sirendoudizhu.fbpid,user_style_daily_sirendoudizhu.fuid,user_style_daily_sirendoudizhu.sys_sum,user_style_daily_sirendoudizhu.sys_percent,user_style_daily_sirendoudizhu.win_sum,user_style_daily_sirendoudizhu.win_percent,user_style_daily_sirendoudizhu.pay_sum,user_style_daily_sirendoudizhu.pay_percent,user_style_daily_sirendoudizhu.change_sum,user_style_daily_sirendoudizhu.change_percent,user_style_daily_sirendoudizhu.coin_total,user_style_daily_sirendoudizhu.primary_total_time,user_style_daily_sirendoudizhu.primary_total_count,user_style_daily_sirendoudizhu.primary_percent,user_style_daily_sirendoudizhu.practice_total_time,user_style_daily_sirendoudizhu.practice_total_count,user_style_daily_sirendoudizhu.practice_percent,user_style_daily_sirendoudizhu.native_total_time,user_style_daily_sirendoudizhu.native_total_count,user_style_daily_sirendoudizhu.native_percent,user_style_daily_sirendoudizhu.middle_total_time,user_style_daily_sirendoudizhu.middle_total_count,user_style_daily_sirendoudizhu.middle_percent,user_style_daily_sirendoudizhu.high_total_time,user_style_daily_sirendoudizhu.high_total_count,user_style_daily_sirendoudizhu.high_percent,user_style_daily_sirendoudizhu.master_total_time,user_style_daily_sirendoudizhu.master_total_count,user_style_daily_sirendoudizhu.master_percent,user_style_daily_sirendoudizhu.dt
53A1CFE86FB5700D88BF92D5087FFD2B,4052704,19612,53.3878,17123,46.6122,0,0,0,0.0,36735,0,0,0.0,581,4,64.0573,326,2,35.9427,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11252183,13241,73.8854,4680,26.1146,0,0,0,0.0,17921,0,0,0.0,1191,8,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11374939,5920,75.5102,1920,24.4898,0,0,0,0.0,7840,0,0,0.0,0,0,0.0,217,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,10875617,2581,95.5572,120,4.4428,0,0,0,0.0,2701,0,0,0.0,159,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,8696456,31482,47.6293,34616,52.3707,0,0,0,0.0,66098,874,6,79.2384,229,2,20.7616,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
34E4147F6F2E379D9F1B3E9043A341F4,4111186,1632,77.2727,480,22.7273,0,0,0,0.0,2112,0,0,0.0,117,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
B797AC4DBA23F78601A22277185EB16A,10475523,22481,56.3095,17443,43.6905,0,0,0,0.0,39924,0,0,0.0,1380,10,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11617571,33750,50.3033,33343,49.6967,0,0,0,0.0,67093,721,5,71.5278,159,1,15.7738,128,1,12.6984,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
EC84EED4F127B11F8004B3B6B2264C2B,11130764,43162,54.9449,35393,45.0551,0,0,0,0.0,78555,0,0,0.0,1619,9,88.761,205,2,11.239,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,3988351,8664,90.0249,960,9.9751,0,0,0,0.0,9624,0,0,0.0,152,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11737255,18038,62.9028,10638,37.0972,0,0,0,0.0,28676,0,0,0.0,1498,10,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4248697,7221,60.0699,4800,39.9301,0,0,0,0.0,12021,0,0,0.0,0,0,0.0,250,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4230506,30562,51.0652,29287,48.9348,0,0,0,0.0,59849,0,0,0.0,1789,11,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
5EBDB2F4790BE7423EFC7FC44ED844AA,11705349,7860,91.7153,710,8.2847,0,0,0,0.0,8570,0,0,0.0,139,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
89D1A3AD2CFFF5709C8CCC0277E01269,11160362,85884,52.2558,78469,47.7442,0,0,0,0.0,164353,0,0,0.0,1924,11,61.6667,1196,11,38.3333,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
53A1CFE86FB5700D88BF92D5087FFD2B,4241716,1830,72.332,700,27.668,0,0,0,0.0,2530,0,0,0.0,159,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2018-09-10
