fbpid,fuid,lifespan,pay_sum,latest_login_time,null,付费,赢牌获得,系统产出,兑换,null,高级场,职业场,私人场,中级场,新手场
BD5FDCFA71A9CD5313766DAE14B56F9F,1002930235,49,0.00,2018-06-21,0.0000,0.0000,24.1531,75.8469,0.0000,0.0000,0.0000,0.0000,6.5100,3.1900,90.3000
BD5FDCFA71A9CD5313766DAE14B56F9F,1003012981,66,0.00,2018-08-26,0.0000,0.0000,73.4351,26.5649,0.0000,0.0000,1.3400,0.0000,0.0000,20.3300,78.3300
384C601DAA0369E7BB9AECC1D53D3437,1002332423,171,0.00,2018-04-24,0.0000,0.0000,12.8151,87.1849,0.0000,0.0000,0.0000,0.0700,0.0000,2.8700,97.0500
384C601DAA0369E7BB9AECC1D53D3437,1002381163,170,0.00,2018-05-07,0.0000,0.0000,42.8054,57.1946,0.0000,0.0000,0.0000,0.0000,0.0000,0.9700,99.0300
384C601DAA0369E7BB9AECC1D53D3437,1002555969,67,0.00,2018-03-22,0.0000,0.0000,30.9560,69.0440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002626492,57,0.00,2018-04-08,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002663681,123,0.00,2018-06-24,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
384C601DAA0369E7BB9AECC1D53D3437,1002736310,28,0.00,2018-04-04,0.0000,0.0000,14.9940,85.0060,0.0000,0.0000,0.0000,0.0000,50.5500,0.3600,49.0900
384C601DAA0369E7BB9AECC1D53D3437,1002742270,1,0.00,2018-03-09,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
BD5FDCFA71A9CD5313766DAE14B56F9F,1002287136,307,0.00,2018-08-26,0.0000,0.0000,59.3562,40.6438,0.0000,0.0000,27.6500,0.0000,0.0000,37.9000,34.4500
BD5FDCFA71A9CD5313766DAE14B56F9F,1002308704,133,0.00,2018-03-10,0.0000,0.0000,17.8954,82.1046,0.0000,0.0000,0.0000,0.0000,0.0000,1.0500,98.9500
BD5FDCFA71A9CD5313766DAE14B56F9F,1002436747,211,0.00,2018-07-10,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,20.1200,26.9500,52.9300
BD5FDCFA71A9CD5313766DAE14B56F9F,1002528416,232,0.00,2018-08-26,0.0000,0.0000,43.9360,56.0640,0.0000,0.0000,1.6000,0.0000,5.1800,30.3900,62.8200
